appid,genres,steamspy_tags,categories
10,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
20,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
30,Action,FPS;World War II;Multiplayer,Multi-player;Valve Anti-Cheat enabled
40,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled
50,Action,FPS;Action;Sci-fi,Single-player;Multi-player;Valve Anti-Cheat enabled
60,Action,Action;FPS;Multiplayer,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled
70,Action,FPS;Classic;Action,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled
80,Action,Action;FPS;Multiplayer,Single-player;Multi-player;Valve Anti-Cheat enabled
130,Action,FPS;Action;Sci-fi,Single-player
220,Action,FPS;Action;Sci-fi,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK
240,Action,Action;FPS;Multiplayer,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK
280,Action,FPS;Action;Sci-fi,Single-player
300,Action,FPS;World War II;Multiplayer,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK
320,Action,Action;FPS;Multiplayer,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK
340,Action,FPS;Action;Singleplayer,Single-player;Commentary available
360,Action,Action;FPS;Multiplayer,Multi-player;Valve Anti-Cheat enabled
380,Action,FPS;Action;Sci-fi,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available
400,Action,Puzzle;First-Person;Singleplayer,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available
420,Action,FPS;Action;Sci-fi,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available
440,Action;Free to Play,Free to Play;Multiplayer;FPS,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available
500,Action,Zombies;Co-op;FPS,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available
550,Action,Zombies;Co-op;FPS,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available
570,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled
620,Action;Adventure,Puzzle;Co-op;First-Person,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available
630,Action,Free to Play;Co-op;Action,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor
730,Action;Free to Play,FPS;Multiplayer;Shooter,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats
1002,Indie,Indie;Fighting;Multiplayer,Single-player;Multi-player
1200,Action,World War II;Action;FPS,Multi-player;Steam Achievements;Valve Anti-Cheat enabled
