appid,positive_ratings,negative_ratings
10,124534,33391
20,3318,6331
30,3416,3981
40,1273,2671
50,5250,2881
60,2758,6841
70,27755,11001
80,12120,14391
130,3822,4201
220,67902,24191
240,76640,34971
280,3767,10531
300,10489,12101
320,6020,7871
340,5783,10201
360,1362,4731
380,7908,5171
400,51801,10801
420,13902,6961
440,515879,340361
500,17951,9481
550,251789,84181
570,863507,1420791
620,138220,18911
630,17435,9411
730,2644404,4023131
1002,40,171
1200,1562,2231
1250,53710,26491
1300,468,611
1500,472,1581
1510,1602,1521
1520,2057,3441
1530,368,751
1600,140,441
1610,112,261
1630,451,1081
1640,490,1521
1670,137,1021
1690,191,851
1700,671,1061
1840,15083,11111
1900,498,2381
1930,2656,10551
2100,4386,3161
2200,1362,661
2210,891,1711
2270,1773,871
2280,3705,2571
2290,573,821
2300,2517,1821
2310,2618,1361
2320,1369,1071
2330,65,121
2340,54,331
2350,108,311
2360,249,261
2370,57,201
2390,417,291
2400,4819,7921
2450,662,2041
2500,973,2481
2520,52,461
2590,610,5231
2600,6161,3621
2610,740,871
2620,1555,1171
2630,2434,2361
2640,490,971
2710,180,331
2720,31,91
2780,145,771
2800,212,501
2810,282,1131
2820,1633,2721
2840,142,481
2850,57,181
2870,2832,40321
2900,52,171
2910,127,311
2920,33,141
2990,5438,3431
3010,139,391
3020,793,1981
3050,71,361
3130,294,691
3170,482,531
3230,30,941
3260,256,1721
3270,429,1371
3330,437,371
3410,71,281
3480,1106,661
3483,707,581
3490,10,21
3500,10,31
3510,21,81
3520,11,51
3530,23,71
3540,368,241
3560,98,181
3570,8,51
3580,15,31
3590,14630,4541
3600,97,571
3610,8,31
3620,435,281
3700,1181,3771
3710,559,791
3720,1847,951
3730,1434,2191
3800,260,711
3810,369,1101
3820,259,1031
3830,8204,4561
3900,1394,1291
3910,2578,4051
3920,2641,1931
3960,39,491
3980,184,651
3990,121,201
4000,363721,164331
4100,4,51
4230,119,431
4290,4,21
4300,43,141
4420,57,361
4460,77,411
4470,31,171
4500,11039,5701
4520,106,601
4530,76,381
4560,4772,3201
4570,3485,2061
4580,2849,1331
4700,10270,6051
4720,1243,2211
4760,7806,5621
4770,331,1311
4780,585,301
4800,259,461
4850,1081,1431
4870,102,221
4880,170,661
4890,246,1381
4900,122,171
4920,8372,14981
6000,6392,3791
6010,597,311
6020,5684,3301
6030,2020,2191
6040,575,551
6060,29149,24251
6080,272,381
6090,115,181
6120,1749,2271
6200,1025,1641
6210,91,331
6220,1977,1861
6250,460,1071
6270,77,1001
6300,588,891
6310,1152,1021
6370,1365,2261
6400,100,151
6420,474,901
6510,569,1781
6550,1462,10521
6800,1561,2131
6810,404,711
6830,1333,2381
6840,421,2651
6850,1514,2601
6860,5864,3911
6870,316,1131
6880,1732,8461
6900,1186,4501
6910,6242,3471
6920,649,4331
6980,1135,2101
7000,1656,2431
7010,175,611
7020,248,151
7110,809,2791
7200,963,551
7210,236,901
7220,86,651
7260,69,541
7340,8,41
7510,1566,9811
7520,3054,20511
7530,153,1941
7600,1114,5701
7610,355,1531
7620,420,821
7650,385,321
7660,417,531
7730,57,541
7760,2165,1361
7770,146,1381
7830,1664,2571
7840,34,501
7860,539,2701
7940,8725,8211
8000,1964,3891
8080,1223,7241
8100,89,1031
8140,1779,5941
8170,1028,5421
8190,33636,32311
8310,78,711
8320,44,331
8330,69,771
8340,218,251
8400,583,621
8500,8317,28321
8600,1684,3481
8790,174,161
8800,1396,661
8870,79442,38461
8880,197,1501
8890,121,281
8930,129030,55651
8970,35,141
9000,200,361
9010,3084,2761
9030,143,151
9040,205,131
9050,2633,3761
9060,173,391
9160,310,691
9180,737,511
9200,9394,28821
9310,606,761
9340,579,521
9350,1065,1621
9420,4969,1741
9450,4887,2861
9460,378,2291
9480,9442,28811
9500,160,941
9710,42,541
9760,157,381
9800,428,1451
9850,82,561
9880,2081,8231
9900,7639,23911
9940,746,1491
9960,9,131
9970,5,241
9980,48,241
10090,19595,14831
10100,125,321
10110,143,421
10120,14,161
10130,623,1591
10140,50,281
10150,3702,9041
10180,30006,28261
10220,641,11011
10230,25,631
10240,15,101
10250,12,121
10260,5,101
10270,618,2521
10460,47,501
10500,14928,17191
10680,9448,11861
11020,8252,12441
11040,114,431
11050,94,451
11130,59,1301
11140,178,491
11150,98,541
11190,300,941
11200,328,2391
11230,351,1421
11240,299,3101
11250,20,91
11260,78,561
11280,902,1291
11330,586,1301
11340,523,1611
11360,433,1481
11450,3439,2761
11480,273,611
11560,69,441
11590,175,3011
12100,4718,7501
12110,9817,8191
12120,26877,32431
12130,816,4331
12140,3926,4351
12150,2506,1721
12170,199,301
12180,184,171
12200,8504,17641
12210,35240,189261
12220,6401,23451
12310,57,141
12320,1489,3191
12330,256,591
12340,46,271
12360,1967,3941
12390,51,441
12420,12,411
12430,31,691
12440,23,171
12450,12,81
12460,85,761
12470,174,951
12480,86,671
12500,561,801
12510,18,891
12520,245,1111
12530,29,91
12540,21,61
12560,15,261
12590,25,241
12600,10,271
12640,238,721
12670,14,61
12710,946,751
12770,365,1781
12790,132,1821
12810,2116,3061
12830,1024,5801
13000,48,41
13140,1515,7231
13200,240,1001
13210,2414,2781
13230,2211,661
13240,2134,651
13250,1228,1321
13500,657,1011
13520,3099,6091
13530,365,1091
13540,371,1061
13560,900,1471
13570,1777,1401
13580,356,4541
13600,831,1221
13620,34,21
15000,80,791
15080,239,801
15100,5743,11621
15120,2582,4561
15130,1823,1861
15160,76,381
15170,1258,1831
15190,624,1001
15200,234,1281
15210,685,1131
15240,70,241
15270,272,401
15300,536,451
15320,1287,1851
15370,759,661
15380,84,211
15390,823,981
15400,89,211
15500,402,1351
15520,547,1031
15560,747,2521
15620,5626,7551
15700,2739,4421
15710,806,481
15740,437,1551
15750,759,1391
15800,1,11
15900,92,291
15910,6,31
15920,7,141
15930,52,141
15960,73,351
15970,29,141
16000,20,291
16020,30,231
16030,57,211
16040,29,141
16060,26,251
16100,20,71
16110,11,31
16120,48,51
16130,35,81
16180,32,71
16200,20,71
16450,3274,5091
16500,10,11
16600,169,331
16620,21,131
16710,308,1101
16720,1219,8321
16730,1095,10001
16810,330,951
16900,599,1431
17080,6470,17381
17100,180,381
17120,54,131
17140,113,381
17180,15,61
17300,6075,12771
17330,1694,3121
17390,15101,20141
17410,17880,23411
17430,2351,10811
17440,481,1001
17450,6207,4681
17460,10107,6661
17470,9136,10491
17480,4390,8551
17500,5267,9141
17570,3839,5821
17710,1675,4411
17740,663,1151
18000,394,421
18020,118,231
18040,540,341
18050,125,181
18070,149,371
18120,190,481
18300,297,1011
18400,97,1081
18420,98,241
18470,53,231
18480,53,371
18500,3307,1131
18600,12,101
18700,735,3271
18820,652,1731
19000,480,4371
19020,16,81
19030,70,221
19080,1,131
19200,226,1901
19320,6,81
19500,16,471
19800,303,531
19830,811,711
19900,5292,17391
19980,948,2661
20200,6,101
20510,5550,9031
20530,1327,1511
20540,1337,1011
20550,354,3131
20570,1645,1641
20700,50,151
20710,55,121
20820,963,641
20900,26380,42171
20920,36427,47101
21000,1050,2421
21010,227,1201
21030,97,511
21090,6371,4381
21100,5349,20301
21130,1672,4601
21300,19,81
21400,10,51
21500,5,31
21640,110,341
21660,295,1261
21670,649,2471
21680,453,2871
21690,9250,16181
21780,367,461
21800,276,1081
21980,1121,2321
22000,3455,2371
22100,3205,2911
22120,1396,791
22130,220,481
22180,1660,1641
22200,1980,3561
22230,2604,2441
22300,9921,27091
22310,466,2401
22320,9571,5401
22330,13827,8261
22350,3493,23311
22370,17742,44951
22380,66756,31491
22450,498,2131
22500,125,191
22600,2478,4301
22610,776,3071
22650,478,2261
22670,242,901
23150,13,51
23300,102,641
23380,124,1131
23400,191,451
23420,123,521
23450,354,1381
23460,83,191
23490,1338,1761
23500,120,1361
23530,731,951
23600,69,241
23700,139,1021
24010,8573,53361
24200,10138,26541
24240,34645,25331
24400,307,1131
24410,13,111
24420,1008,1331
24460,13,201
24480,188,1691
24640,14,291
24650,13,171
24670,498,3641
24720,1943,4531
24740,9739,14871
24780,3110,9591
24790,2292,2951
24800,1449,3621
24810,1070,761
24840,1725,4611
24870,1101,4151
24960,23093,38771
24980,10675,5421
25000,3200,13151
25010,321,981
25500,63,501
25600,167,251
25620,58,121
25700,198,381
25800,1191,2451
25830,1018,891
25850,76,291
25890,3298,9921
25900,1290,1391
25910,138,361
25930,45,481
25980,305,1301
25990,326,201
26000,161,361
26300,13,311
26800,6529,3861
26900,668,1091
27000,502,1771
27020,305,1991
27050,53,441
27200,14,101
27330,132,2091
27400,111,631
27600,23,21
27800,36,171
27810,36,91
27900,88,1501
27920,91,941
27940,206,4061
28000,2822,19191
29120,53,261
29130,178,121
29160,96,281
29180,857,1051
29800,3277,8681
29900,337,961
31270,1574,2141
31300,11,191
31800,15,91
31810,50,41
31820,35,61
31830,66,71
31840,32,21
31850,34,41
31860,24,31
31870,10,121
31880,28,21
31890,20,31
31900,19,71
31910,26,61
31920,19,61
31930,27,91
31980,18,91
32000,0,131
32110,43,131
32120,24,181
32140,89,401
32150,303,61
32160,244,441
32200,81,451
32310,121,321
32330,305,871
32340,306,411
32350,221,2351
32360,2156,1151
32370,11569,15901
32380,777,3151
32390,366,1921
32400,1501,1711
32410,37,161
32420,166,2791
32430,2287,13891
32440,3033,2561
32450,163,581
32460,1194,631
32470,6526,3961
32500,1880,13481
32510,825,1401
32610,50,361
32620,220,241
32630,166,261
32640,121,111
32650,58,141
32660,41,141
32670,258,231
32680,167,171
32710,27,81
32720,36,131
32730,47,271
32740,33,81
32750,93,161
32760,102,151
32770,121,171
32900,112,651
33100,815,921
33110,150,791
33120,995,841
33130,410,731
33180,291,851
33230,14861,26391
33320,511,2631
33390,26,71
33460,1356,7501
33520,412,601
33570,289,861
33600,432,511
33610,181,1671
33620,228,641
33650,299,371
33660,21,71
33670,166,1341
33680,955,921
33760,1,41
33770,154,371
33790,16,131
33900,1728,3571
33930,17683,15191
33950,151,561
33980,78,491
33990,83,861
34010,3113,7851
34030,8540,9071
34190,614,1731
34410,260,421
34420,55,571
34500,31,71
34600,270,981
34630,6,21
34640,11,21
34800,46,231
34810,80,261
34820,373,1011
34830,2143,17281
34870,6775,27241
34900,10465,29811
34920,49,1541
35000,1612,2701
35070,58,281
35130,2506,2371
35140,20297,8651
35300,73,261
35310,90,441
35320,329,671
